
USER,ALGORITHM,|V|,|N|,time,UNDIRECTED
manue,bidijkstra,101,204,3,V
manue,bidijkstra,101,204,9,V
manue,bia* euclidian,101,204,3,V
manue,scc,20063,40742,171,V
manue,scc,20063,40742,103,V
manue,scc,20063,40742,150,V
manue,bia* euclidian,403,840,12,V
manue,scc,3294,6270,0,V
manue,scc,3294,6270,0,V
manue,bidijkstra,35,72,4,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,9,24,9,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,9,24,0,V
manue,scc,2383,5008,0,V
manue,scc,2383,5008,9,V
manue,bidijkstra,1209,2680,66,V
manue,bia* euclidian,1209,2680,81,V
manue,bia* manhattan,1209,2680,67,V
tito9,scc,3294,6270,5,V
tito9,scc,3294,6270,4,V
tito9,scc,6193,12350,15,V
tito9,scc,6193,12350,11,V
tito9,scc,3294,6270,5,V
tito9,scc,3294,6270,1,V
tito9,scc,8505,17384,28,V
tito9,scc,8505,17384,21,V
tito9,Floyd-Warshall,1208,2530,114858,F
tito9,scc,8505,17384,24,V
tito9,scc,8505,17384,19,V
tito9,Floyd-Warshall,1208,2530,55391,F
tito9,scc,8505,17384,22,V
tito9,scc,8505,17384,21,V
tito9,Floyd-Warshall,1208,2530,61794,V
tito9,scc,8505,17384,23,V
tito9,scc,8505,17384,21,V
tito9,Floyd-Warshall,1208,2530,56979,V
tito9,scc,8505,17384,22,V
tito9,scc,8505,17384,21,V
tito9,Floyd-Warshall,1208,2530,92841,V
tito9,scc,8505,17384,22,V
tito9,scc,8505,17384,19,V
tito9,Floyd-Warshall,1208,2530,247688,V
tito9,scc,10176,21530,39,V
tito9,scc,10176,21530,33,V
tito9,scc,10176,21530,20,V
tito9,scc,10176,21530,24,V
tito9,scc,21262,43458,51,V
tito9,scc,21262,43458,49,V
tito9,scc,21262,43458,69,V
tito9,scc,21262,43458,75,V
tito9,Floyd-Warshall,1270,2718,151284,V
tito9,scc,21262,43458,83,V
tito9,scc,21262,43458,69,V
tito9,Floyd-Warshall,1270,2718,69560,V
tito9,scc,21262,43458,60,V
tito9,scc,21262,43458,61,V
tito9,Floyd-Warshall,1270,2718,64746,V
tito9,Floyd-Warshall,1270,2718,63814,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,17,V
pasga,scc,3294,6270,0,V
pasga,scc,3294,6270,14,V
pasga,scc,3294,6270,5,V
pasga,scc,3294,6270,2,V
pasga,bidijkstra,115,256,0,V
pasga,scc,3294,6270,6,V
pasga,scc,3294,6270,3,V
pasga,scc,10176,21530,26,V
pasga,scc,10176,21530,1,V
pasga,scc,3294,6270,3,V
pasga,scc,3294,6270,1,V
pasga,scc,21262,43458,75,V
pasga,scc,21262,43458,66,V
pasga,scc,10176,21530,27,V
pasga,scc,10176,21530,17,V
pasga,scc,10176,21530,21,V
pasga,scc,10176,21530,17,V
pasga,scc,10176,21530,21,V
pasga,scc,10176,21530,17,V
pasga,scc,10176,21530,21,V
pasga,scc,10176,21530,17,V
pasga,scc,10176,21530,20,V
pasga,scc,10176,21530,17,V
pasga,scc,10176,21530,15,V
pasga,scc,10176,21530,6,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,16,V
pasga,scc,2383,5008,0,V
pasga,scc,2383,5008,0,V
pasga,Floyd-Warshall,1209,2680,61052,V
pasga,scc,3294,6270,0,V
pasga,scc,3294,6270,0,V
pasga,Floyd-Warshall,101,204,46,V
pasga,scc,3294,6270,3,V
pasga,scc,3294,6270,1,V
pasga,Floyd-Warshall,115,256,53,V
pasga,scc,3294,6270,0,V
pasga,scc,3294,6270,16,V
pasga,scc,3294,6270,4,V
pasga,scc,3294,6270,0,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,24,V
pasga,scc,10176,21530,20,V
pasga,scc,10176,21530,8,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,12,V
pasga,scc,10176,21530,20,V
pasga,scc,10176,21530,13,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,25,V
pasga,scc,3294,6270,0,V
pasga,scc,3294,6270,2,V
pasga,scc,10176,21530,3,V
pasga,scc,10176,21530,14,V
pasga,scc,10176,21530,4,V
pasga,scc,10176,21530,0,V
tito9,scc,6193,12350,18,V
tito9,Depth First Search,6193,12350,15,F
tito9,scc,6193,12350,36,V
tito9,Depth First Search,6193,12350,12,F
tito9,scc,6193,12350,29,V
tito9,Depth First Search,6193,12350,14,F
tito9,scc,6193,12350,33,V
tito9,Depth First Search,6193,12350,12,F
tito9,scc,6193,12350,38,V
tito9,bidijkstra,144,288,0,V
tito9,Depth First Search,6193,12350,16,F
tito9,scc,6193,12350,37,V
